title,successful_bid,initial_bid,num_bids,time,date,url
久保史緒里 2024 BBM FUSION 100枚限定 乃木坂46 始球式 金紙版 76/100,5305,1000,20,22:35,2024/12/08,https://page.auctions.yahoo.co.jp/jp/auction/j1164128818
【2024BBM FUSION】 始球式 ホロPP版ハート柄 FP40 久保史緒里 300枚限定,2000,500,23,22:18,2024/12/08,https://page.auctions.yahoo.co.jp/jp/auction/t1164040884
久保史緒里 写真集 交差点 初版 ポストカード付,1100,1100,1,22:13,2024/12/08,https://page.auctions.yahoo.co.jp/jp/auction/g1158304189
【2024BBM FUSION】 始球式 銀紙版 FP40 久保史緒里 200枚限定 020/200,2600,1000,14,22:09,2024/12/08,https://page.auctions.yahoo.co.jp/jp/auction/b1164099930
乃木坂46 久保史緒里 生写真 3種類フルコンプリートセット(ヨリ/チュウ/ヒキ) 2024年10月 チートデイ,900,500,16,21:38,2024/12/08,https://page.auctions.yahoo.co.jp/jp/auction/k1164316541
乃木坂46 生写真 チートデイ コンプ 久保史緒里,877,1,33,21:38,2024/12/08,https://page.auctions.yahoo.co.jp/jp/auction/g1164353748
乃木坂46 久保史緒里　雑誌切り抜き38ぺージ,390,390,1,21:31,2024/12/08,https://page.auctions.yahoo.co.jp/jp/auction/v1160585792
乃木坂46 久保史緒里 生写真 2種類フルコンプリートセット(チュウ/ヒキ) 2024年10月 チートデイ,550,100,17,21:24,2024/12/08,https://page.auctions.yahoo.co.jp/jp/auction/o1164330831
乃木坂46 生写真 真夏の全国ツアー2024衣装1 プリンセス衣装 30枚まとめ売り 井上和 冨里奈央 五百城茉央 久保史緒里 柴田柚菜などあり,1700,1,30,21:19,2024/12/08,https://page.auctions.yahoo.co.jp/jp/auction/x1164211885
ファーストナンバー　久保史緒里　300シリ　2024 BBM fusion 始球式　1stナンバー　ハートパラレル　300枚限定　乃木坂46,5750,5000,4,21:15,2024/12/08,https://page.auctions.yahoo.co.jp/jp/auction/w1163426799
【同梱可】中古品 アイドル 乃木坂46 筒井あやめ 久保史緒里 他 生写真 60枚 2023 Lucky Bag 等 グッズセット,1210,500,3,20:56,2024/12/08,https://page.auctions.yahoo.co.jp/jp/auction/d1164312442
【同梱可】中古品 アイドル 乃木坂46 久保史緒里 筒井あやめ 他 生写真 60枚 ここにはないもの 封入 等 グッズセット,988,500,4,20:51,2024/12/08,https://page.auctions.yahoo.co.jp/jp/auction/l1164314260
BBM FUSION 2024 久保史緒里 始球式カード FP40　②,230,100,5,20:40,2024/12/08,https://page.auctions.yahoo.co.jp/jp/auction/l1163642385
BBM FUSION 2024 久保史緒里 始球式カード FP40,460,100,11,20:38,2024/12/08,https://page.auctions.yahoo.co.jp/jp/auction/u1163661750
未開封 乃木坂46 クリアファイル 横浜アリーナ 2019 白石麻衣 生田絵梨花 齋藤飛鳥 伊藤理々杏 久保史緒里 大園桃子 桜井玲香 与田祐希,300,300,1,20:13,2024/12/08,https://page.auctions.yahoo.co.jp/jp/auction/s1164353312
【2024 BBM FUSION】FP40久保史緒里 始球式カード,460,40,12,19:44,2024/12/08,https://page.auctions.yahoo.co.jp/jp/auction/o1163644788
未開封 乃木坂46版 ミュージカル 美少女戦士セーラームーン 2019 クリアファイルセット 久保史緒里 田村真佑 伊藤純奈 早川聖来 向井葉月,2000,1500,1,16:24,2024/12/08,https://page.auctions.yahoo.co.jp/jp/auction/b1164515700
乃木坂46 生写真 久保史緒里 チートデイ 3種コンプ。,890,890,1,04:27,2024/12/08,https://page.auctions.yahoo.co.jp/jp/auction/e1164331469
乃木坂46久保史緒里②　チートデイ　生写真　　１枚,510,510,1,22:53,2024/12/07,https://page.auctions.yahoo.co.jp/jp/auction/j1164349430
乃木坂46 生写真 まとめ 浴衣 2018 July-2 100枚 西野七瀬 白石麻衣 齋藤飛鳥 生田絵梨花 与田祐希 佐々木琴子 山下美月 久保史緒里,2100,2000,2,22:50,2024/12/07,https://page.auctions.yahoo.co.jp/jp/auction/x1163357064
久保 史緒里　288/300 BBM BASEBALL 2024 FUSION 乃木坂46 始球式 ハートパラレル,2600,1000,12,22:35,2024/12/07,https://page.auctions.yahoo.co.jp/jp/auction/o1163472446
blt graph 松田好花　日向坂46 藤嶌果歩　乃木坂46 久保史緒里　奥田いろは　澄田綾乃　櫻坂46 増本綺良　#2i2 十味　髙橋ひかる　沖侑果,460,460,1,21:57,2024/12/07,https://page.auctions.yahoo.co.jp/jp/auction/v1162644530
久保史緒里　乃木坂46 CHOOSE 5 PHOTOS!　（検）チートテイ　歩道橋　コンプ　山下美月　卒業コンサート,620,300,4,21:26,2024/12/07,https://page.auctions.yahoo.co.jp/jp/auction/w1163489637
AA522 乃木坂46（齋藤飛鳥 山下美月 与田祐希 遠藤さくら 賀喜遥香 筒井あやめ 久保史緒里 梅澤美波◆切り抜き 11ページ 切抜き,490,140,12,21:24,2024/12/07,https://page.auctions.yahoo.co.jp/jp/auction/w1163363763
雑誌 付録 クリアファイル えなこ　久保史緒里　村山彩希　指原莉乃　宮脇咲良　 田中美久　矢吹奈子　白間美瑠　日向坂46 hkt48 9枚セット,995,200,33,21:23,2024/12/07,https://page.auctions.yahoo.co.jp/jp/auction/b1161563369
AA540A 乃木坂46 3期生（与田祐希 山下美月 久保史緒里 梅澤美波 伊藤理々杏 中村麗乃 大園桃子◆切り抜き 14ページ 切抜き,343,170,3,21:22,2024/12/07,https://page.auctions.yahoo.co.jp/jp/auction/1163342118
久保史緒里　のぎBOX グッズ　（検）乃木坂46 生写真　歩道橋　チートデイ,910,100,17,21:15,2024/12/07,https://page.auctions.yahoo.co.jp/jp/auction/h1163501560
【久保史緒里 乃木坂46】始球式カード 東北楽天ゴールデンイーグルス対広島東洋カープ 直筆サインなし BBM2024フュージョン,270,100,3,21:12,2024/12/07,https://page.auctions.yahoo.co.jp/jp/auction/o1163783657
BBM 2024 FUSION 始球式カード パラレル版 乃木坂46 久保史緒里 25枚限定金紙ホロPP版 18/25,25000,20000,9,21:02,2024/12/07,https://page.auctions.yahoo.co.jp/jp/auction/s1163393565
【同梱可】中古品 アイドル 乃木坂46 久保史緒里 田村真佑 他 生写真 60枚 CD 封入 等 グッズセット,1112,500,5,20:35,2024/12/07,https://page.auctions.yahoo.co.jp/jp/auction/k1164138029
【同梱可】中古品 アイドル 乃木坂46 久保史緒里 筒井あやめ 他 生写真 60枚 君に叱られた CD 封入 等 グッズセット,1013,500,23,20:22,2024/12/07,https://page.auctions.yahoo.co.jp/jp/auction/j1164143823
【同梱可】中古品 アイドル 乃木坂46 筒井あやめ 久保史緒里 他 生写真 60枚 人は夢を二度見る 封入 等 グッズセット,1211,500,2,20:20,2024/12/07,https://page.auctions.yahoo.co.jp/jp/auction/e1164147013
【同梱可】中古品 アイドル 乃木坂46 久保史緒里 梅澤美波 他 生写真 60枚 山下美月卒業コンサート 等 グッズセット,988,500,6,20:18,2024/12/07,https://page.auctions.yahoo.co.jp/jp/auction/d1164147697
【同梱可】中古品 アイドル 乃木坂46 久保史緒里 梅澤美波 他 生写真 60枚 CD 封入 等 グッズセット,1210,500,3,20:18,2024/12/07,https://page.auctions.yahoo.co.jp/jp/auction/t1164134280
【同梱可】中古品 アイドル 乃木坂46 久保史緒里 岩本蓮加 他 生写真 60枚 おひとりさま天国 CD 封入 等 グッズセッ,998,500,9,20:14,2024/12/07,https://page.auctions.yahoo.co.jp/jp/auction/j1164138888
